Country,Year,PLI,Real_Power_Index,Category,Dynamic_Category
"Venezuela, RB",2001,40.94339856458902,2.44239617388498,Cheap,Moderate
Vietnam,2001,18.950046187211623,5.277031993066311,Cheap,Cheap
West Bank and Gaza,2001,55.6760045127668,1.7961058965190195,Cheap,Moderate
"Yemen, Rep.",2001,18.029763922301917,5.5463843248832,Cheap,Cheap
Zambia,2001,22.214792369188643,4.501505048442293,Cheap,Cheap
Zimbabwe,2001,37.96550986851074,2.633969630497225,Cheap,Moderate
Virgin Islands (U.S.),2020,95.3011997636306,1.0493047332879704,Moderate,Expensive
West Bank and Gaza,2020,54.2883355404701,1.8420163190572203,Cheap,Moderate
Zambia,2020,30.141079041892063,3.3177312551091283,Cheap,Cheap
Zimbabwe,2020,49.29118752479561,2.0287602109341685,Cheap,Moderate
Uruguay,2003,35.6307872023639,2.8065616241385083,Cheap,Cheap
Uzbekistan,2003,13.790160668903267,7.251547128489912,Cheap,Cheap
Vanuatu,2003,75.66392637669689,1.3216337664284652,Moderate,Expensive
"Venezuela, RB",2003,31.99244567128576,3.1257379016119793,Cheap,Cheap
Vietnam,2003,19.48288189272325,5.132710886952995,Cheap,Cheap
Virgin Islands (U.S.),2003,97.278577105933,1.027975562297786,Moderate,Expensive
West Bank and Gaza,2003,53.402331561818194,1.8725774151684866,Cheap,Moderate
"Yemen, Rep.",2003,19.299607488390773,5.1814525274751135,Cheap,Cheap
Zambia,2003,22.9784064523918,4.351911878971533,Cheap,Cheap
Zimbabwe,2003,40.96994925633375,2.4408133721215313,Cheap,Moderate
"Venezuela, RB",2008,64.42979664520517,1.5520769148266735,Moderate,Expensive
Vietnam,2008,30.506261296499133,3.278015585983193,Cheap,Cheap
Virgin Islands (U.S.),2008,90.0774500378111,1.1101557599379621,Moderate,Expensive
West Bank and Gaza,2008,57.4696735499325,1.7400481649354602,Cheap,Moderate
"Yemen, Rep.",2008,31.803564635971128,3.144301626079233,Cheap,Cheap
Zambia,2008,50.79386804481379,1.9687415794318563,Cheap,Moderate
Zimbabwe,2008,40.634987145167,2.4609334720041542,Cheap,Moderate
Vietnam,2005,23.17742305165251,4.314543501110671,Cheap,Cheap
Virgin Islands (U.S.),2005,110.518709324329,0.9048241751225965,Expensive,Expensive
West Bank and Gaza,2005,48.0020560564768,2.0832440985932985,Cheap,Moderate
"Yemen, Rep.",2005,23.58029314331364,4.2408293820704985,Cheap,Cheap
Zambia,2005,32.13025146135006,3.1123316952651745,Cheap,Cheap
Zimbabwe,2005,43.7677831570965,2.2847855839777895,Cheap,Moderate
Afghanistan,2011,34.786329572600685,2.8746924791618316,Cheap,Cheap
Albania,2011,43.46857378272818,2.3005125610938273,Cheap,Moderate
Algeria,2011,40.41231536509498,2.474493210710026,Cheap,Moderate
Andorra,2011,100.4759951920468,0.9952625978858235,Expensive,Expensive
Angola,2011,68.77726404509269,1.453968857127504,Moderate,Expensive
Antigua and Barbuda,2011,62.64358096652556,1.596332752009122,Moderate,Expensive
Argentina,2011,66.49719553136195,1.5038228184049833,Moderate,Expensive
Armenia,2011,43.93278434043359,2.2762044678321214,Cheap,Moderate
Aruba,2011,72.78997804865475,1.3738154987923936,Moderate,Expensive
Afghanistan,2010,31.753578596151957,3.149251341772182,Cheap,Cheap
Albania,2010,42.534203678265534,2.351049069977036,Cheap,Moderate
Algeria,2010,34.59375568698823,2.890695098410869,Cheap,Cheap
Andorra,2010,97.47717025765236,1.0258812369673769,Moderate,Expensive
Angola,2010,55.34037097164659,1.8069990902524773,Cheap,Moderate
Antigua and Barbuda,2010,63.21871232049814,1.5818101370529787,Moderate,Expensive
Argentina,2010,57.4874210860623,1.7395109766759878,Cheap,Moderate
Armenia,2010,42.86474055804303,2.3329197540479747,Cheap,Moderate
Aruba,2010,71.43044410186201,1.3999632965657742,Moderate,Expensive
Zambia,2021,32.17669267767564,3.107839609301441,Cheap,Cheap
Zimbabwe,2021,54.144549369811934,1.8469079743741403,Cheap,Moderate
Uzbekistan,2007,20.029073303157944,4.992742224585758,Cheap,Cheap
Vanuatu,2007,90.68563460904667,1.1027104836516648,Moderate,Expensive
"Venezuela, RB",2007,50.40845735332743,1.983794094293962,Cheap,Moderate
Vietnam,2007,25.65726348699026,3.897531786689016,Cheap,Cheap
Virgin Islands (U.S.),2007,104.756340184048,0.9545961592807508,Expensive,Expensive
West Bank and Gaza,2007,50.0621918159413,1.9975154177759555,Cheap,Moderate
"Yemen, Rep.",2007,27.03111271406077,3.699440753986535,Cheap,Cheap
Zambia,2007,43.79129755075078,2.283558734109388,Cheap,Moderate
Zimbabwe,2007,40.86686055457975,2.4469704460523696,Cheap,Moderate
United States,2013,100.0,1.0,Moderate,Expensive
Uruguay,2013,88.74170099932681,1.1268659364638345,Moderate,Expensive
Uzbekistan,2013,38.39210176859852,2.6047024099574436,Cheap,Moderate
Vanuatu,2013,105.21856296331512,0.9504026398351915,Expensive,Expensive
Vietnam,2013,34.91234390991545,2.864316422238239,Cheap,Cheap
Virgin Islands (U.S.),2013,107.002140584454,0.9345607429327324,Expensive,Expensive
West Bank and Gaza,2013,65.7377955447451,1.5211949103455102,Moderate,Expensive
"Yemen, Rep.",2013,43.571742351282936,2.295065439288213,Cheap,Moderate
Zambia,2013,52.360396982321255,1.9098403710301046,Cheap,Moderate
Zimbabwe,2013,55.03599368887425,1.8169927223502718,Cheap,Moderate
Uzbekistan,2022,25.05376868222052,3.991415473990757,Cheap,Cheap
Vanuatu,2022,97.6135280621134,1.024448168048675,Moderate,Expensive
Vietnam,2022,29.82849284045178,3.3524992541488867,Cheap,Cheap
Virgin Islands (U.S.),2022,89.0102631117342,1.1234659521730705,Moderate,Expensive
West Bank and Gaza,2022,61.6550667267193,1.6219267176084857,Moderate,Expensive
Zambia,2022,37.67838852941575,2.654041319254654,Cheap,Cheap
Zimbabwe,2022,47.006450174884726,2.1273676192938606,Cheap,Moderate
Afghanistan,2008,28.621107430355096,3.4939249029176827,Cheap,Cheap
Albania,2008,53.115769684177536,1.8826800514158535,Cheap,Moderate
Algeria,2008,37.9104060891039,2.6377981751227324,Cheap,Moderate
Andorra,2008,109.57536533738777,0.9126138862699225,Expensive,Expensive
Angola,2008,62.580701597000974,1.5979367032981977,Moderate,Expensive
Antigua and Barbuda,2008,62.6677662662237,1.5957166811273022,Moderate,Expensive
Argentina,2008,51.76961289567318,1.9316350732913794,Cheap,Moderate
Armenia,2008,48.26262630768404,2.071996649384136,Cheap,Moderate
Aruba,2008,72.41205486454805,1.3809855304763436,Moderate,Expensive
United States,2000,100.0,1.0,Moderate,Expensive
Uruguay,2000,63.935483708428265,1.5640766941881687,Moderate,Expensive
Uzbekistan,2000,22.382326413130095,4.467810814399401,Cheap,Cheap
Vanuatu,2000,66.19086106613975,1.5107825822068883,Moderate,Expensive
"Venezuela, RB",2000,41.25618083550798,2.423879233967603,Cheap,Moderate
Vietnam,2000,19.624426773570654,5.09569024123934,Cheap,Cheap
West Bank and Gaza,2000,55.6251407262174,1.797748260848313,Cheap,Moderate
"Yemen, Rep.",2000,18.79965036861292,5.31924786042594,Cheap,Cheap
Zambia,2000,21.03753202619209,4.753409281825372,Cheap,Cheap
Zimbabwe,2000,38.871045242894496,2.5726089786144786,Cheap,Moderate
Chile,2014,64.42282517129858,1.5522448718152713,Moderate,Expensive
China,2014,60.12446753632561,1.6632163925540404,Moderate,Expensive
Colombia,2014,61.30277856748996,1.6312474301618674,Moderate,Expensive
Comoros,2014,55.00104423928227,1.8181472985303622,Cheap,Moderate
"Congo, Dem. Rep.",2014,56.92349707469162,1.7567437901572696,Cheap,Moderate
"Congo, Rep.",2014,62.81390273390939,1.592004248225387,Moderate,Expensive
Costa Rica,2014,66.55864733468697,1.5024343793700432,Moderate,Expensive
Côte d’Ivoire,2014,48.877284591529,2.045940171098031,Cheap,Moderate
Croatia,2014,62.47959622655153,1.6005225071781704,Moderate,Expensive
Curaçao,2014,80.59480461944972,1.2407747679540535,Moderate,Expensive
Central African Republic,2017,48.91590570518314,2.0443248174264914,Cheap,Moderate
Chad,2017,40.74403553454102,2.454346966078614,Cheap,Moderate
Chile,2017,61.24622998193434,1.632753559353723,Moderate,Expensive
China,2017,59.77509783888348,1.672937454147509,Cheap,Expensive
Colombia,2017,44.99483369045508,2.2224773779131306,Cheap,Moderate
Comoros,2017,42.53751437932503,2.35086608747887,Cheap,Moderate
"Congo, Dem. Rep.",2017,43.51670411374278,2.297968148934779,Cheap,Moderate
"Congo, Rep.",2017,49.75956647264344,2.009663811178449,Cheap,Moderate
Costa Rica,2017,60.08528931024304,1.6643008820954865,Moderate,Expensive
Côte d’Ivoire,2017,41.88112467349738,2.387710472906201,Cheap,Moderate
Japan,2014,97.26961063509492,1.0280703227562829,Moderate,Expensive
Jordan,2014,45.83190935747184,2.181885969882625,Cheap,Moderate
Kazakhstan,2014,51.872655894231954,1.9277979558999143,Cheap,Moderate
Kenya,2014,44.13812454539233,2.2656150670189543,Cheap,Moderate
Kiribati,2014,83.32994960475037,1.2000487276701692,Moderate,Expensive
"Korea, Rep.",2014,82.8120232893887,1.2075541211032543,Moderate,Expensive
Kosovo,2014,47.58864117224456,2.10134178107871,Cheap,Moderate
Kuwait,2014,64.92682090637109,1.5401955402099055,Moderate,Expensive
Kyrgyz Republic,2014,29.907008638131718,3.343697833841498,Cheap,Cheap
Lao PDR,2014,34.16465666864476,2.9270014614774933,Cheap,Cheap
Chad,2013,61.83576604775589,1.6171870487182094,Moderate,Expensive
Chile,2013,70.64322311627609,1.4155639506340723,Moderate,Expensive
China,2013,58.44632667505704,1.7109715133333896,Cheap,Moderate
Colombia,2013,64.78228506502987,1.5436318725036917,Moderate,Expensive
Comoros,2013,56.604070673957565,1.7666573942359247,Cheap,Moderate
"Congo, Dem. Rep.",2013,60.52329029048834,1.6522565035714145,Moderate,Expensive
"Congo, Rep.",2013,63.37853368430242,1.5778212935331444,Moderate,Expensive
Costa Rica,2013,70.92427439632073,1.4099545021949158,Moderate,Expensive
Côte d’Ivoire,2013,49.35478810685266,2.0261458682286495,Cheap,Moderate
Croatia,2013,63.01846582154644,1.586836472394879,Moderate,Expensive
Uruguay,2015,77.25292918155782,1.2944492986794405,Moderate,Expensive
Uzbekistan,2015,41.22597176061523,2.425655375224748,Cheap,Moderate
Vanuatu,2015,96.25916245458322,1.0388621451717053,Moderate,Expensive
Vietnam,2015,33.598922110944784,2.9762859555374006,Cheap,Cheap
Virgin Islands (U.S.),2015,104.401205652979,0.9578433445720134,Expensive,Expensive
West Bank and Gaza,2015,56.7099536161526,1.7633588748257618,Cheap,Moderate
Zambia,2015,38.828115165487525,2.5754533686169054,Cheap,Moderate
Zimbabwe,2015,52.3839856261065,1.9089803649870276,Cheap,Moderate
Morocco,2016,39.99471511589995,2.5003303489026445,Cheap,Moderate
Mozambique,2016,32.01271595868627,3.123758700419362,Cheap,Cheap
Myanmar,2016,27.563317878196543,3.6280102577601214,Cheap,Cheap
Namibia,2016,43.09438968585558,2.3204876720373173,Cheap,Moderate
Nauru,2016,85.08830659239332,1.1752496201274705,Moderate,Expensive
Nepal,2016,29.476464004994984,3.3925371775615396,Cheap,Cheap
Netherlands,2016,88.0483867302726,1.1357391510913195,Moderate,Expensive
New Zealand,2016,100.31207253615494,0.9968889832672686,Expensive,Expensive
Nicaragua,2016,36.23859658534015,2.7594887612301657,Cheap,Cheap
Niger,2016,42.29552611850885,2.364316256991522,Cheap,Moderate
Belarus,2016,28.261779668709814,3.538347590711549,Cheap,Cheap
Belgium,2016,86.4503507062648,1.1567333062623804,Moderate,Expensive
Belize,2016,65.3350764318335,1.5305714091317195,Moderate,Expensive
Benin,2016,35.55683110597526,2.812399105588326,Cheap,Cheap
Bhutan,2016,27.962654926889467,3.57619833529605,Cheap,Cheap
Bolivia,2016,40.22141208038756,2.4862379222325015,Cheap,Moderate
Bosnia and Herzegovina,2016,38.20773084141519,2.617271368850966,Cheap,Moderate
Botswana,2016,41.588666119923495,2.404501257906272,Cheap,Moderate
Brazil,2016,61.752450613598896,1.6193689320238631,Moderate,Expensive
Chile,2016,58.69262326604772,1.7037916255116103,Cheap,Moderate
China,2016,58.30841243374829,1.7150183965928227,Cheap,Moderate
Colombia,2016,42.48884643016704,2.353558837243463,Cheap,Moderate
Comoros,2016,43.49989121631384,2.2988563236336743,Cheap,Moderate
"Congo, Dem. Rep.",2016,48.395183721638894,2.0663213218733394,Cheap,Moderate
"Congo, Rep.",2016,52.11856830321781,1.9187019761981063,Cheap,Moderate
Costa Rica,2016,62.96839145095235,1.588098372782676,Moderate,Expensive
Côte d’Ivoire,2016,41.11102354552986,2.432437613460328,Cheap,Moderate
Croatia,2016,49.68539791392745,2.0126637643767107,Cheap,Moderate
Curaçao,2016,80.10327008982011,1.2483884851126503,Moderate,Expensive
Botswana,1998,34.554900316198044,2.893945549978153,Cheap,Cheap
Brazil,1998,59.37908873247576,1.6840945547436088,Cheap,Expensive
Brunei Darussalam,1998,26.032905328413086,3.8412923466846793,Cheap,Cheap
Bulgaria,1998,29.466359058640112,3.3937005858441154,Cheap,Cheap
Burkina Faso,1998,29.774236932322644,3.358608323944682,Cheap,Cheap
Burundi,1998,33.24334766900828,3.008120632003221,Cheap,Cheap
Cabo Verde,1998,52.96727722404593,1.8879580986768618,Cheap,Moderate
Cambodia,1998,25.920059327399542,3.8580158608777615,Cheap,Cheap
Cameroon,1998,41.792332189730764,2.392783430846007,Cheap,Moderate
Canada,1998,79.86963262554768,1.2520403151073625,Moderate,Expensive
Central African Republic,1998,41.3204388120195,2.420109826396894,Cheap,Moderate
Chad,1998,27.191273634604286,3.6776504603571616,Cheap,Cheap
Chile,1998,61.24039018193786,1.6329092565039507,Moderate,Expensive
China,1998,33.62907413358626,2.973617400311575,Cheap,Cheap
Central African Republic,2009,52.03426218224043,1.921810664860941,Cheap,Moderate
Chad,2009,49.61974907677456,2.015326595974401,Cheap,Moderate
Chile,2009,63.310090180001936,1.5795270503593042,Moderate,Expensive
China,2009,46.14408761353649,2.1671248728009247,Cheap,Moderate
Colombia,2009,50.64913843207627,1.974367246821116,Cheap,Moderate
Comoros,2009,61.21254795335688,1.6336519773069833,Moderate,Expensive
"Congo, Dem. Rep.",2009,48.900334799139166,2.0449757739032983,Cheap,Moderate
"Congo, Rep.",2009,47.30678488962496,2.1138616846043874,Cheap,Moderate
Costa Rica,2009,55.668698185260325,1.796341629315799,Cheap,Moderate
Côte d’Ivoire,2009,48.49330139545221,2.0621404837860386,Cheap,Moderate
"Hong Kong SAR, China",2017,77.89355127594712,1.2838033234065573,Moderate,Expensive
Hungary,2017,49.56997036317266,2.0173504092770984,Cheap,Moderate
India,2017,31.736280726448463,3.1509678421977703,Cheap,Cheap
Indonesia,2017,35.544637862793245,2.813363871816968,Cheap,Cheap
"Iran, Islamic Rep.",2017,38.175293511062726,2.6194952494869814,Cheap,Moderate
Iraq,2017,46.69782793199696,2.1414272232452345,Cheap,Moderate
Ireland,2017,89.74243749941192,1.1143000211093586,Moderate,Expensive
Israel,2017,104.224895263826,0.9594636650568805,Expensive,Expensive
Italy,2017,77.93613952411779,1.2831017883437044,Moderate,Expensive
Tuvalu,2011,114.48877078090447,0.873448106027521,Expensive,Expensive
Uganda,2011,36.8484232767968,2.7138203241105656,Cheap,Cheap
Ukraine,2011,40.06634209867798,2.4958604844363763,Cheap,Moderate
United Arab Emirates,2011,57.90628650060232,1.7269282152803882,Cheap,Moderate
United Kingdom,2011,113.12382711865403,0.8839870657409015,Expensive,Expensive
United States,2011,100.0,1.0,Moderate,Expensive
Uruguay,2011,79.08011476881889,1.2645404004829515,Moderate,Expensive
Uzbekistan,2011,35.09319157773475,2.849555583409691,Cheap,Cheap
Vanuatu,2011,112.34154360334216,0.8901426559802496,Expensive,Expensive
"Venezuela, RB",2011,62.50396544241904,1.5998984911145149,Moderate,Expensive
Vietnam,2011,33.71730737438901,2.9658358803573384,Cheap,Cheap
Virgin Islands (U.S.),2011,99.9770684556743,1.000229368040891,Moderate,Expensive
Jamaica,2017,53.55603125007794,1.8672033320216286,Cheap,Moderate
Japan,2017,93.70198527493714,1.0672132474737162,Moderate,Expensive
Jordan,2017,43.87900862895268,2.2789940594514024,Cheap,Moderate
Kazakhstan,2017,37.304724896534765,2.6806255850257994,Cheap,Cheap
Kenya,2017,39.91823563193,2.5051207403568583,Cheap,Moderate
Kiribati,2017,72.32645464624741,1.382619962351333,Moderate,Expensive
"Korea, Rep.",2017,77.1550975914429,1.2960906423776046,Moderate,Expensive
Kosovo,2017,42.739002587711305,2.339783194396607,Cheap,Moderate
Kuwait,2017,62.38013648389485,1.603074402150719,Moderate,Expensive
Kyrgyz Republic,2017,24.656037723845447,4.05580171153322,Cheap,Cheap
Hungary,2014,55.63802523627653,1.7973319429532706,Cheap,Moderate
Iceland,2014,118.65291626939484,0.8427942872719248,Expensive,Expensive
India,2014,29.930782517090705,3.341041950470197,Cheap,Cheap
Indonesia,2014,34.18955264115063,2.924870092615361,Cheap,Cheap
"Iran, Islamic Rep.",2014,36.81222871831265,2.7164886094020675,Cheap,Cheap
Iraq,2014,47.45804768223122,2.107124184070493,Cheap,Moderate
Ireland,2014,108.80966108850944,0.9190360396275532,Expensive,Expensive
Israel,2014,110.1305086048478,0.908013603739937,Expensive,Expensive
Italy,2014,98.26176341129376,1.0176898574619562,Moderate,Expensive
Jamaica,2014,56.97033981240113,1.7552993422418082,Cheap,Moderate
United States,2019,100.0,1.0,Moderate,Expensive
Uruguay,2019,71.0388729580352,1.4076799903494106,Moderate,Expensive
Uzbekistan,2019,23.892387985957907,4.185433455156188,Cheap,Cheap
Vanuatu,2019,96.76526474314078,1.033428681928848,Moderate,Expensive
Vietnam,2019,31.197887555590377,3.20534522800025,Cheap,Cheap
Virgin Islands (U.S.),2019,96.5312692933229,1.0359337521620784,Moderate,Expensive
West Bank and Gaza,2019,56.1863300477572,1.7797923429952107,Cheap,Moderate
Zambia,2019,37.45424923182832,2.669924028673916,Cheap,Cheap
Zimbabwe,2019,52.43788361549371,1.9070182300502534,Cheap,Moderate
Morocco,2013,44.81170811972774,2.231559656972245,Cheap,Moderate
Mozambique,2013,61.63897773601984,1.6223500725185325,Moderate,Expensive
Myanmar,2013,28.938287905204863,3.455629452840364,Cheap,Cheap
Namibia,2013,55.1243060592936,1.8140817934730382,Cheap,Moderate
Nauru,2013,106.47530689157524,0.9391848957226382,Expensive,Expensive
Nepal,2013,30.22057773894816,3.30900358238752,Cheap,Cheap
Netherlands,2013,106.00586628886306,0.9433440195423031,Expensive,Expensive
New Zealand,2013,118.58041204356746,0.8433096012793339,Expensive,Expensive
Nicaragua,2013,38.96426581470725,2.5664541063225816,Cheap,Moderate
Niger,2013,48.52507972394589,2.0607900196947546,Cheap,Moderate
Nigeria,2013,57.75864205346058,1.7313426431916703,Cheap,Moderate
Jordan,2016,45.57352643035437,2.194256355228959,Cheap,Moderate
Kazakhstan,2016,32.469871709261454,3.0797781061597718,Cheap,Cheap
Kenya,2016,39.6799522692837,2.5201643218056518,Cheap,Moderate
Kiribati,2016,70.75868617044515,1.4132540527832542,Moderate,Expensive
"Korea, Rep.",2016,73.98636565892826,1.3516003808187131,Moderate,Expensive
Kosovo,2016,41.05526459575724,2.4357412133286864,Cheap,Moderate
Kuwait,2016,65.27059278418102,1.532083526966772,Moderate,Expensive
Kyrgyz Republic,2016,23.96465019816041,4.17281283778873,Cheap,Cheap
Lao PDR,2016,34.15716981089042,2.9276430264464337,Cheap,Cheap
Latvia,2016,57.508487085758894,1.7388737744200453,Cheap,Moderate
Mongolia,2012,42.64192916648669,2.345109659780411,Cheap,Moderate
Montenegro,2012,47.50731160934543,2.104939147521209,Cheap,Moderate
Morocco,2012,43.299740792091626,2.309482647486524,Cheap,Moderate
Mozambique,2012,63.732675719852026,1.569053846720123,Moderate,Expensive
Myanmar,2012,31.277453603765103,3.197191218532005,Cheap,Cheap
Namibia,2012,63.46427927270594,1.5756895240281563,Moderate,Expensive
Nepal,2012,31.964954459811327,3.128426168281494,Cheap,Cheap
Netherlands,2012,105.91900594031254,0.9441176218775313,Expensive,Expensive
Canada,2018,93.11075502101134,1.073989787510949,Moderate,Expensive
Cayman Islands,2018,116.78504927825868,0.8562739889909566,Expensive,Expensive
Central African Republic,2018,50.25778566257975,1.9897414635690291,Cheap,Moderate
Chad,2018,42.58241060834671,2.3483874813888224,Cheap,Moderate
Chile,2018,61.88273052293811,1.6159597217988455,Moderate,Expensive
China,2018,61.88205251173488,1.615977427074461,Moderate,Expensive
Colombia,2018,44.73250895285024,2.2355106463043195,Cheap,Moderate
Comoros,2018,46.62395921881402,2.144819995459487,Cheap,Moderate
"Congo, Dem. Rep.",2018,49.40288910083997,2.0241731165941013,Cheap,Moderate
"Congo, Rep.",2018,48.17344568500354,2.0758324130243837,Cheap,Moderate
Costa Rica,2018,58.56465176665326,1.7075146352520454,Cheap,Moderate
Tanzania,2014,46.04528039355201,2.171775242658824,Cheap,Moderate
Thailand,2014,37.7551448345381,2.648645646527114,Cheap,Cheap
Timor-Leste,2014,42.8254989272727,2.335057442525595,Cheap,Moderate
Togo,2014,47.44950258919903,2.1075036521618475,Cheap,Moderate
Tonga,2014,77.52352776347745,1.2899309781812016,Moderate,Expensive
Trinidad and Tobago,2014,68.40672839078763,1.461844504954677,Moderate,Expensive
Tunisia,2014,40.73282455689116,2.4550224809558916,Cheap,Moderate
Türkiye,2014,50.46757156134084,1.9814704156797982,Cheap,Moderate
Turkmenistan,2014,57.42095610509544,1.7415244674256853,Cheap,Moderate
Turks and Caicos Islands,2014,106.835783618016,0.9360159734264984,Expensive,Expensive
Tuvalu,2014,103.21762736303177,0.9688267649118217,Expensive,Expensive
Uganda,2014,41.989266548573845,2.381561008795389,Cheap,Moderate
Haiti,2018,46.80615336550973,2.136471228880933,Cheap,Moderate
Honduras,2018,43.75066121005602,2.2856797413844605,Cheap,Moderate
"Hong Kong SAR, China",2018,79.70007796475205,1.2547039169048961,Moderate,Expensive
Hungary,2018,51.47536844572459,1.9426767213029192,Cheap,Moderate
India,2018,29.281673726241515,3.41510532952843,Cheap,Cheap
Indonesia,2018,33.951112652535606,2.9454115693769936,Cheap,Cheap
"Iran, Islamic Rep.",2018,31.212409399829603,3.203853913326727,Cheap,Cheap
Iraq,2018,46.921232421462186,2.131231317663752,Cheap,Moderate
Ireland,2018,93.55686960298031,1.06886859751039,Moderate,Expensive
Israel,2018,105.40600837642586,0.9487125216133797,Expensive,Expensive
Cambodia,2011,33.78675253326352,2.9597399129007336,Cheap,Cheap
Cameroon,2011,50.654169339979575,1.9741711551683363,Cheap,Moderate
Cayman Islands,2011,112.98500193924484,0.8850732246194302,Expensive,Expensive
Central African Republic,2011,54.48532650768153,1.8353565337614643,Cheap,Moderate
Chad,2011,54.77603602364073,1.8256158579427162,Cheap,Moderate
Chile,2011,71.99891022925229,1.3889099110193366,Moderate,Expensive
China,2011,54.54598745825906,1.833315421716846,Cheap,Moderate
Colombia,2011,63.21604468474147,1.581876887405724,Moderate,Expensive
Comoros,2011,61.956703409366334,1.6140303550250295,Moderate,Expensive
"Congo, Dem. Rep.",2011,57.864975506276565,1.7281611047973757,Cheap,Moderate
Ireland,1999,97.3993911738226,1.0267004628554224,Moderate,Expensive
Israel,1999,84.65929898301809,1.1812051505418102,Moderate,Expensive
Italy,1999,85.94922190606196,1.1634776648623393,Moderate,Expensive
Jamaica,1999,54.39224236296386,1.838497470515958,Cheap,Moderate
Jordan,1999,28.593521620523983,3.49729569260967,Cheap,Cheap
Kazakhstan,1999,16.47424035677327,6.0700826159116765,Cheap,Cheap
Kenya,1999,29.764666707149907,3.3596882163635495,Cheap,Cheap
Kiribati,1999,58.154819480433886,1.719547939335361,Cheap,Moderate
"Korea, Rep.",1999,63.49952604131486,1.5748149038929322,Moderate,Expensive
Kuwait,1999,28.1060432555108,3.5579536788904935,Cheap,Cheap
Kyrgyz Republic,1999,14.7683373708601,6.771242929303154,Cheap,Cheap
Lao PDR,1999,16.151392941144856,6.191416453329859,Cheap,Cheap
Bosnia and Herzegovina,2012,46.37585843045742,2.156294317440059,Cheap,Moderate
Botswana,2012,51.78420498387729,1.9310907646672266,Cheap,Moderate
Brazil,2012,82.39013499960396,1.213737542734706,Moderate,Expensive
